Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
13,tt0375679,2019-02-28,2019-02-28,,"Crash","Crash",https://www.imdb.com/title/tt0375679/,Movie,7.7,112,2004,"Crime, Drama, Thriller",455989,2005-09-09,"Paul Haggis",,
14,tt2481498,2019-04-26,2019-04-26,,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",https://www.imdb.com/title/tt2481498/,Movie,6.7,110,2019,"Biography, Crime, Drama, Mystery, Thriller",109162,2019-05-03,"Joe Berlinger",,
15,tt4686844,2019-10-21,2019-10-21,,"The Death of Stalin","The Death of Stalin",https://www.imdb.com/title/tt4686844/,Movie,7.3,107,2017,"Comedy, Drama, History",120806,2018-02-09,"Armando Iannucci",,
16,tt0105236,2020-04-09,2020-04-09,,"De hänsynslösa","Reservoir Dogs",https://www.imdb.com/title/tt0105236/,Movie,8.3,99,1992,"Crime, Thriller",1134525,1993-02-26,"Quentin Tarantino",,
17,tt0110912,2020-04-09,2020-04-09,,"Pulp Fiction","Pulp Fiction",https://www.imdb.com/title/tt0110912/,Movie,8.9,154,1994,"Crime, Drama",2340742,1994-11-25,"Quentin Tarantino",,
18,tt6343314,2020-09-06,2020-09-06,,"Creed II","Creed II",https://www.imdb.com/title/tt6343314/,Movie,7.1,130,2018,"Action, Drama, Sport",162996,2018-11-23,"Steven Caple Jr.",,
19,tt0080474,2021-03-20,2021-03-20,,"Brubaker","Brubaker",https://www.imdb.com/title/tt0080474/,Movie,7.1,131,1980,"Crime, Drama",20264,1980-11-05,"Stuart Rosenberg",,
20,tt1323045,2021-04-14,2021-04-14,,"Frozen","Frozen",https://www.imdb.com/title/tt1323045/,Movie,6.2,93,2010,"Adventure, Thriller",84747,2010-03-25,"Adam Green",,
21,tt12536294,2021-05-03,2021-05-03,,"Spencer","Spencer",https://www.imdb.com/title/tt12536294/,Movie,6.5,117,2021,"Biography, Drama",80018,2022-01-07,"Pablo Larraín",,
22,tt12844100,2021-05-03,2021-05-03,,"John Wick: Chapter 5","John Wick: Chapter 5",https://www.imdb.com/title/tt12844100/,Movie,,,,"Action, Crime, Thriller",0,,,,
23,tt8115900,2021-05-03,2021-05-03,,"Tuffa gänget","The Bad Guys",https://www.imdb.com/title/tt8115900/,Movie,6.8,100,2022,"Animation, Adventure, Comedy, Crime, Family",67519,2022-05-13,"Pierre Perifel",,
24,tt10016180,2021-06-06,2021-06-06,,"The Little Things","The Little Things",https://www.imdb.com/title/tt10016180/,Movie,6.3,128,2021,"Crime, Drama, Mystery, Thriller",134691,2021-01-29,"John Lee Hancock",,
25,tt1615147,2021-06-16,2021-06-16,,"Margin Call","Margin Call",https://www.imdb.com/title/tt1615147/,Movie,7.1,107,2011,"Drama, Thriller",153382,2012-03-16,"J.C. Chandor",,
26,tt0323939,2021-06-16,2021-06-16,,"Shade","Shade",https://www.imdb.com/title/tt0323939/,Movie,6.3,101,2003,"Crime, Thriller",13582,2004-05-09,"Damian Nieman",,
27,tt5503686,2021-07-30,2021-07-30,,"Hustlers","Hustlers",https://www.imdb.com/title/tt5503686/,Movie,6.3,110,2019,"Comedy, Crime, Drama",110752,2019-10-04,"Lorene Scafaria",,
28,tt0077975,2021-08-03,2021-08-03,,"Delta-gänget","National Lampoon's Animal House",https://www.imdb.com/title/tt0077975/,Movie,7.4,109,1978,"Comedy",133035,1978-12-20,"John Landis",,
29,tt1381404,2021-08-11,2021-08-11,,"The Company You Keep","The Company You Keep",https://www.imdb.com/title/tt1381404/,Movie,6.4,125,2012,"Drama, Thriller",36613,2013-01-18,"Robert Redford",,
30,tt0455967,2021-09-20,2021-09-20,,"John Tucker Must Die","John Tucker Must Die",https://www.imdb.com/title/tt0455967/,Movie,5.7,89,2006,"Comedy, Romance",90690,2006-08-18,"Betty Thomas",,
31,tt0080339,2021-09-28,2021-09-28,,"Titta vi flyger","Airplane!",https://www.imdb.com/title/tt0080339/,Movie,7.7,88,1980,"Comedy",274438,1980-12-25,"Jim Abrahams, David Zucker, Jerry Zucker",,
32,tt0298203,2021-10-10,2021-10-10,,"8 Mile","8 Mile",https://www.imdb.com/title/tt0298203/,Movie,7.2,110,2002,"Drama, Music",338922,2003-01-24,"Curtis Hanson",,
33,tt5727208,2021-10-16,2021-10-16,,"Uncut Gems","Uncut Gems",https://www.imdb.com/title/tt5727208/,Movie,7.4,135,2019,"Crime, Drama, Thriller",335700,2020-01-31,"Benny Safdie, Josh Safdie",,
34,tt10450852,2022-02-12,2022-02-12,,"Mafia Wars","Mafia Wars",https://www.imdb.com/title/tt10450852/,Movie,3.6,94,2024,"Action, Thriller",272,2024-10-11,"Scott Windhauser",,
35,tt18313302,2022-02-26,2022-02-26,,"Soul of a Man","Soul of a Man",https://www.imdb.com/title/tt18313302/,Short,7.5,20,2022,"Short, Drama, Horror",106,2022-02-25,"Landon Liboiron, Bill Skarsgård",,
36,tt2194499,2022-05-31,2022-05-31,,"About Time","About Time",https://www.imdb.com/title/tt2194499/,Movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",413683,2013-10-18,"Richard Curtis",,
